"occupation_id","function_id","accountability_statement","primary_output","primary_stakeholder","judgment_requirement","trust_requirement","regulatory_liability_weight","human_authority_requirement","bargaining_power_retention","source_mix","source_confidence","notes"
"occ_27_1024_00","fn_occ_27_1024_00_primary","Remain accountable for final creative direction, coherence, and audience fit.","Creative assets and narratives","Audience, client, or brand owner","0.4400","0.4600","0.1400","0.3600","0.5400","src_role_function_seed_2026_03","0.7400","reviewed_primary_accountability_profile|phase32_guardrail_correction"
"occ_27_3023_00","fn_occ_27_3023_00_broadcast_orchestration","Remain accountable for live presentation judgment, editorial sequencing, and release readiness under deadline.","Broadcast-ready segments and presentation flow","Audience, editor, and producer","0.7400","0.7800","0.2400","0.5000","0.6200","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_27_3023_00","fn_occ_27_3023_00_primary","Remain accountable for source judgment, factual integrity, and public trust.","Credible reporting","Public and editor","0.8000","0.8600","0.3600","0.6400","0.7400","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","reviewed_primary_accountability_profile"
"occ_27_3023_00","fn_occ_27_3023_00_source_development","Remain accountable for source trust, verification discipline, and judgment under uncertainty.","Verified source network and reportable facts","Public, sources, and editor","0.7800","0.8400","0.2800","0.5600","0.7000","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_27_3031_00","fn_occ_27_3031_00_primary","Remain accountable for message accuracy, timing, and reputational consequences.","Stakeholder-ready communications","External and internal stakeholders","0.5800","0.7200","0.4000","0.5400","0.6200","src_role_function_seed_2026_03","0.7400","reviewed_primary_accountability_profile"
"occ_27_3031_00","fn_occ_27_3031_00_relationship_protection","Remain accountable for relationship trust, escalation judgment, and reputational protection.","Protected stakeholder trust and coordinated response","External stakeholders and leadership","0.7600","0.8600","0.3200","0.5600","0.7400","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_27_3041_00","fn_occ_27_3041_00_primary","Remain accountable for final clarity, consistency, and editorial standards.","Publishable, high-quality content","Reader and publisher","0.8000","0.7800","0.3000","0.5600","0.7000","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","reviewed_primary_accountability_profile"
"occ_27_3041_00","fn_occ_27_3041_00_publication_orchestration","Remain accountable for review flow, contributor alignment, and release readiness.","Coordinated publication workflow","Writers, editor, and publisher","0.7200","0.7000","0.2200","0.4800","0.6200","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_27_3042_00","fn_occ_27_3042_00_primary","Remain accountable for documentation accuracy, user fit, and release readiness.","Usable technical documentation","User, support, and product team","0.7400","0.7000","0.3200","0.4800","0.6200","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","reviewed_primary_accountability_profile"
"occ_27_3042_00","fn_occ_27_3042_00_release_enablement","Remain accountable for review completeness, release fit, and documentation maintainability.","Release-ready documentation package","Users, support, and product team","0.7200","0.6800","0.2400","0.4400","0.5800","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_27_3043_00","fn_occ_27_3043_00_content_system_stewardship","Remain accountable for voice consistency, editorial fit, and escalation when content choices conflict with user understanding or stakeholder goals.","Coherent content systems and release-ready written work","Audience, client, editor, and cross-functional partners","0.7600","0.7600","0.1800","0.4600","0.5800","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_27_3043_00","fn_occ_27_3043_00_primary","Remain accountable for final creative direction, coherence, and audience fit.","Creative assets and narratives","Audience, client, or brand owner","0.6000","0.6200","0.2200","0.4200","0.6000","src_role_function_seed_2026_03","0.7400","reviewed_primary_accountability_profile"
"occ_41_3011_00","fn_occ_41_3011_00_campaign_account_stewardship","Remain accountable for account continuity, commercial fit, and escalation when campaign commitments or client trust are at risk.","Maintained account momentum and commercial follow-through","Client, sales leadership, and internal delivery teams","0.7200","0.8400","0.2200","0.5000","0.7400","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_41_3011_00","fn_occ_41_3011_00_primary","Remain accountable for relationship quality, deal judgment, and commercial commitments.","Revenue and account progression","Customer and revenue owner","0.7200","0.8200","0.2600","0.5800","0.7600","src_role_function_seed_2026_03","0.7400","reviewed_primary_accountability_profile"
"occ_41_3021_00","fn_occ_41_3021_00_policy_service_stewardship","Remain accountable for relationship trust, servicing clarity, and escalation when policy fit or customer needs change.","Maintained policy relationships and renewal continuity","Customer and agency","0.7200","0.8400","0.5200","0.4200","0.7400","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_41_3021_00","fn_occ_41_3021_00_primary","Remain accountable for relationship quality, deal judgment, and commercial commitments.","Revenue and account progression","Customer and revenue owner","0.7200","0.8200","0.2600","0.5800","0.7600","src_role_function_seed_2026_03","0.7400","reviewed_primary_accountability_profile"
"occ_41_3031_00","fn_occ_41_3031_00_book_stewardship","Remain accountable for relationship quality, account continuity, and escalation when compliance or suitability concerns interrupt the sale.","Maintained regulated account momentum and client continuity","Client and revenue owner","0.7600","0.8600","0.5800","0.4400","0.7800","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_41_3031_00","fn_occ_41_3031_00_primary","Remain accountable for relationship quality, deal judgment, and commercial commitments.","Revenue and account progression","Customer and revenue owner","0.7200","0.8200","0.2600","0.5800","0.7600","src_role_function_seed_2026_03","0.7400","reviewed_primary_accountability_profile"
"occ_41_3091_00","fn_occ_41_3091_00_account_stewardship","Remain accountable for account trust, renewal risk, and coordination when delivery issues threaten revenue.","Retained accounts and expanded customer trust","Customer and revenue owner","0.7200","0.7600","0.2000","0.5200","0.7200","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile|phase31_salesrep_guardrail_correction"
"occ_41_3091_00","fn_occ_41_3091_00_primary","Remain accountable for commercial judgment, relationship trust, and final deal commitments.","Closed service revenue and active accounts","Customer and revenue owner","0.7600","0.7600","0.2800","0.6200","0.7600","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","reviewed_primary_accountability_profile|phase31_salesrep_guardrail_correction"
"occ_41_4011_00","fn_occ_41_4011_00_primary","Remain accountable for relationship quality, deal judgment, and commercial commitments.","Revenue and account progression","Customer and revenue owner","0.7200","0.8200","0.2600","0.5800","0.7600","src_role_function_seed_2026_03","0.7400","reviewed_primary_accountability_profile"
"occ_41_4011_00","fn_occ_41_4011_00_solution_translation","Remain accountable for solution fit, translation quality, and escalation when technical reality changes the sales path.","Customer-ready solution translation and deal guidance","Customer and revenue owner","0.7800","0.8400","0.2800","0.4400","0.7600","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_43_1011_00","fn_occ_43_1011_00_primary","Remain accountable for staffing coverage, workflow quality, and escalation when office-support processes break down.","Coordinated office-support execution","Support staff and leadership","0.6800","0.6200","0.3400","0.5600","0.6200","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","reviewed_primary_accountability_profile"
"occ_43_1011_00","fn_occ_43_1011_00_staffing_cadence_leadership","Remain accountable for staffing balance, service reliability, and escalation when office-support flow breaks down.","Manager-level staffing cadence and workflow direction","Support staff and leadership","0.7200","0.6400","0.3000","0.6200","0.6400","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_43_3021_00","fn_occ_43_3021_00_exception_reconciliation","Remain accountable for exception handling quality, record correction, and escalation when discrepancies affect accounts materially.","Resolved billing exceptions and corrected records","Finance operations and customer account teams","0.4600","0.4400","0.3000","0.2800","0.3600","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile|phase33_guardrail_correction"
"occ_43_3021_00","fn_occ_43_3021_00_primary","Remain accountable for billing accuracy, document integrity, and escalation when discrepancies affect customers or downstream finance.","Accurate billing output and corrected records","Customer and finance operations","0.4600","0.5400","0.4200","0.2600","0.3200","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","reviewed_primary_accountability_profile|phase30_clerical_barg_correction"
"occ_43_3031_00","fn_occ_43_3031_00_primary","Remain accountable for transaction accuracy, ledger correctness, and escalation when processing exceptions affect downstream reporting.","Accurate posted transactions and reconciled ledger records","Accounting supervisor and finance operations","0.5600","0.5200","0.3200","0.3200","0.3800","src_role_function_seed_2026_03","0.7400","reviewed_primary_accountability_profile|phase31_bookkeeping_clerk_correction"
"occ_43_3031_00","fn_occ_43_3031_00_transaction_processing","Remain accountable for transaction accuracy, document fit, and escalation when routine processing reveals a material exception.","Posted transactions and updated routine financial records","Accounting operations team","0.5800","0.4600","0.3600","0.2200","0.3000","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_43_4031_00","fn_occ_43_4031_00_case_window_coordination","Remain accountable for handoff quality, procedural clarity, and escalation when requests stop fitting routine process.","Completed civic request flow and cleaner public handoffs","Applicant, public, and institution","0.5400","0.7200","0.6200","0.3000","0.4000","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile|phase30_clerical_barg_correction"
"occ_43_4031_00","fn_occ_43_4031_00_primary","Remain accountable for record integrity, procedural correctness, and escalation when a filing or request cannot be processed routinely.","Accurate public records and completed filings","Applicant, public, and institution","0.5600","0.7000","0.6200","0.3000","0.4000","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","reviewed_primary_accountability_profile|phase30_clerical_barg_correction"
"occ_43_4051_00","fn_occ_43_4051_00_case_queue_execution","Remain accountable for queue hygiene, record accuracy, and escalation when routine support work turns into a real exception.","Stable support queue flow and routine case completion","Customer and support operation","0.5600","0.4800","0.1800","0.2800","0.3400","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_43_4051_00","fn_occ_43_4051_00_primary","Remain accountable for case quality, exception handling, and customer-facing judgment.","Resolved customer issues and retained trust","Customer and service organization","0.6200","0.7800","0.3000","0.4600","0.5800","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","reviewed_primary_accountability_profile"
"occ_43_4131_00","fn_occ_43_4131_00_intake_exception_coordination","Remain accountable for follow-through quality, exception routing, and escalation when intake issues affect eligibility or timing.","Resolved intake exceptions and cleaner lending flow","Borrower and lending team","0.5800","0.7000","0.3600","0.3400","0.4600","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_43_4131_00","fn_occ_43_4131_00_primary","Remain accountable for intake accuracy, borrower follow-through, and escalation when files are incomplete or policy issues appear.","Review-ready loan files and accurate intake records","Borrower and lending team","0.5600","0.6600","0.3800","0.3800","0.4800","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","reviewed_primary_accountability_profile"
"occ_43_4171_00","fn_occ_43_4171_00_primary","Own the integrity of schedules, records, and follow-through even when parts of the work are delegated.","Accurate workflow execution and internal support","Internal leaders and teams","0.3200","0.3800","0.2000","0.2600","0.2800","src_role_function_seed_2026_03","0.7400","reviewed_primary_accountability_profile|phase33_guardrail_correction"
"occ_43_4171_00","fn_occ_43_4171_00_visitor_routing_stewardship","Remain accountable for routing quality, communication tone, and escalation when intake cannot be handled routinely.","Clean first-contact routing and maintained service continuity","Visitor and front-office team","0.3400","0.4200","0.1600","0.2200","0.2800","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile|phase33_guardrail_correction"
"occ_43_6011_00","fn_occ_43_6011_00_executive_coordination","Remain accountable for discretion, escalation quality, and coordination when executive commitments or stakeholder trust are at risk.","Aligned executive commitments and high-trust coordination","Executive and leadership stakeholders","0.7600","0.8400","0.2800","0.5400","0.7200","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_43_6011_00","fn_occ_43_6011_00_primary","Own the integrity of schedules, records, and follow-through even when parts of the work are delegated.","Accurate workflow execution and internal support","Internal leaders and teams","0.4200","0.4800","0.2800","0.3400","0.4000","src_role_function_seed_2026_03","0.7400","reviewed_primary_accountability_profile"
"occ_43_6014_00","fn_occ_43_6014_00_admin_coordination","Remain accountable for coordination quality, follow-up discipline, and escalation when requests affect sensitive priorities or stakeholder trust.","Coordinated administrative follow-through and information flow","Internal stakeholders and managers","0.6800","0.7200","0.1800","0.3800","0.5000","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_43_6014_00","fn_occ_43_6014_00_primary","Own the integrity of schedules, records, and follow-through even when parts of the work are delegated.","Accurate workflow execution and internal support","Internal leaders and teams","0.4200","0.4800","0.2800","0.3400","0.4000","src_role_function_seed_2026_03","0.7400","reviewed_primary_accountability_profile"
"occ_43_9041_00","fn_occ_43_9041_00_exception_escalation_support","Remain accountable for exception visibility, record quality, and escalation when routine processing no longer fits the case.","Visible processing exceptions and cleaner escalation flow","Claims operations and adjuster team","0.6000","0.6600","0.4800","0.3400","0.4600","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_43_9041_00","fn_occ_43_9041_00_primary","Remain accountable for SOP adherence, escalation when claims fall outside routine parameters, and handoff quality to adjusters or supervisors.","Processed claims and accurate workflow handoffs","Internal teams and customers","0.5200","0.5800","0.4800","0.2800","0.3400","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.7400","reviewed_primary_accountability_profile|phase30_clerical_barg_correction"
"occ_43_9061_00","fn_occ_43_9061_00_office_flow_coordination","Remain accountable for flow reliability, request routing, and escalation when office work stops fitting routine handling.","Coordinated office workflow and request follow-through","Internal teams and office stakeholders","0.6200","0.5600","0.2000","0.2800","0.3400","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_43_9061_00","fn_occ_43_9061_00_primary","Own the integrity of schedules, records, and follow-through even when parts of the work are delegated.","Accurate workflow execution and internal support","Internal leaders and teams","0.4200","0.4800","0.2800","0.3400","0.4000","src_role_function_seed_2026_03","0.7400","reviewed_primary_accountability_profile"
"occ_43_9111_00","fn_occ_43_9111_00_data_preparation_execution","Remain accountable for coding accuracy, packet completeness, and escalation when preparation work changes the meaning of the analysis.","Prepared statistical inputs and coded records","Analyst and statistical support team","0.5800","0.4200","0.1800","0.2400","0.3000","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_43_9111_00","fn_occ_43_9111_00_primary","Remain accountable for data preparation accuracy, processing reliability, and escalation when outputs deviate from expected statistical ranges.","Accurate prepared data and supporting statistical outputs","Technical or analytical decision-maker","0.5400","0.5600","0.3400","0.3200","0.3800","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.7400","reviewed_primary_accountability_profile|phase30_clerical_barg_correction"
"occ_15_2041_00","fn_occ_15_2041_00_primary","Remain accountable for compilation accuracy, tabulation completeness, and escalation when data anomalies affect the integrity of statistical outputs.","Accurate compiled and tabulated statistical data","Statistician or research supervisor","0.3400","0.3800","0.1800","0.2200","0.2000","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.7400","reviewed_primary_accountability_profile|phase33_statistical_assistant_initial"
"occ_15_2041_00","fn_occ_15_2041_00_data_entry_execution","Remain accountable for coding consistency and data entry precision when preparing statistical inputs for analysis.","Consistently coded and entered statistical records","Research or analytical team","0.2800","0.3000","0.1400","0.1800","0.1800","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile|phase33_statistical_assistant_initial"
